heb,eng
שם ישוב,city_name
סמל ישוב,city_code
קלפי,ballot_code
בזב,can_vote
מצביעים,voted
פסולים,void
כשרים,legal
אמת,party_avoda
ב,party_bayit_yehudi
ג,party_agudat_israel
כן,party_kahol_lavan
ל,party_israel_beitenu
מחל,party_likud
מרצ,party_meretz
עם,party_raam
פה,party_yesh_atid
שס,party_shas
אצ,party_shahar_kalkali_hadash
ד,party_daled
ום,party_vavmem
ז,party_shahar_koach_hevrati
זך,party_kama
זנ,party_koach_lehashpia
זץ,party_tzomet
ט,party_tet
י,party_israel_hofshit_demokratit
יז,party_hakalkalit_hahadasha
ינ,party_ichud_bnei_habrit
יץ,party_tzav_hashaa
יק,party_hagush_hatana'chi
ך,party_ani_veata
נז,party_kavod_haadam
ני,party_nativ
נף,party_shma
נץ,party_haatzmaim_hachadashim
נק,party_yesh_kivun
נר,party_anachnu
ף,party_pesofit
צ,party_tze'irim_bo'arim
ץ,party_manhigut_hevratit
ק,party_kol_hasviva_vehachai
קי,party_halev_hayehudi
קך,party_seder_chadash
קנ,party_kol
קץ,party_beometz_bishvilech
רז,party_kavod_umasoret
ת,party_daat_tov_vera
